"","species","NMDS1","NMDS2","pvals"
"1","Avena barbata_ab",-0.875527601993235,-0.431366355729633,0.005
"2","Erodium cicutarium_ab",-0.599023796606893,-0.434859431008246,0.008
"3","Hirschfeldia incana dead_ab",-0.471321506010372,-0.507370455942804,0.006
"4","Hirschfeldia incana_ab",-0.656609028251548,-0.64383540613723,0.003
"5","Lupinus spp._ab",-0.693586006234787,-0.583413593656472,0.023
"6","Malacothamnus fasciculatus dead_ab",-0.165800573521235,0.94811707679665,0.001
"7","Malacothamnus fasciculatus_ab",-0.154148894888124,0.923708816552974,0.036
"8","Malacothamnus fasciculatus_dn",-0.075493423896874,0.741519321993924,0.036
"9","Acmispon glaber_sd",0.262872282428427,0.903351046340341,0.008
"10","Apiastrum angustifolium_sd",0.663480036754541,-0.626102752202365,0.041
"11","Artemisia californica_sd",0.850383175151635,0.179431235834638,0.024
"12","Bromus madritensis_sd",-0.0254778105248902,0.98302413028679,0.009
"13","Calochortus clavatus_sd",-0.069443696426429,0.970682466366695,0.023
"14","Claytonia perfoliata_sd",0.711236858941327,-0.671083244370802,0.006
"15","Erigeron canadensis_sd",0.67718772944605,-0.648864383862777,0.021
"16","Eucrypta chrysanthemifolia_sd",0.710364130988466,-0.689687795197047,0.003
"17","Festuca myuros_sd",-0.000385486197671579,0.838244621247033,0.002
"18","Hirschfeldia incana_sd",-0.515044346502678,0.826698073070963,0.008
"19","Malacothrix saxatilis_sd",0.716331225314998,-0.675835653596164,0.013
"20","Nicotiana glauca_sd",0.693333839631774,-0.699075173540033,0.001
"21","Phacelia spp._sd",-0.0663863035498891,0.92795209336628,0.023
"22","Pseudognaphalium californicum_sd",0.710310422038889,-0.670195516098207,0.006
"23","Pseudognaphalium luteoalbum_sd",0.861100559892755,-0.155138661806968,0.047
