"","standtype","site","rep","count_per_transect","percentcover_veg","percentcover_ground"
"1","intact","Intact_1",1,39,0.951219512195122,0.0487804878048781
"2","intact","Intact_2",2,39,0.951219512195122,0.0487804878048781
"3","intact","Intact_3",3,41,1,0
"4","matrix","ENH1",1,41,1,0
"5","matrix","ENH1",2,39,0.951219512195122,0.0487804878048781
"6","matrix","ENH1",3,41,1,0
"7","matrix","ENH2",4,38,0.926829268292683,0.073170731707317
"8","matrix","ENH2",5,41,1,0
"9","matrix","ENH2",6,40,0.975609756097561,0.024390243902439
"10","degraded","DEG1",1,41,1,0
"11","degraded","DEG1",2,41,1,0
"12","degraded","DEG1",3,41,1,0
"13","degraded","DEG2",4,41,1,0
"14","degraded","DEG2",5,41,1,0
"15","degraded","DEG2",6,40,0.975609756097561,0.024390243902439
